District,Station,Rainfall,Date
Chennai,Chennai port trust,10.0,1993-03-03
Chennai,Chennai port trust,10.0,1993-03-03
Chennai,Sholinganallur,2.0,1993-03-03
Chennai,Chennai nungambakkam,2.0,1993-03-03
Chennai,Sholinganallur,46.1,1993-05-16
Chennai,Chennai nungambakkam,46.1,1993-05-16
Chennai,Chennai port trust,46.0,1993-05-16
Chennai,Chennai port trust,46.0,1993-05-16
Chennai,Sholinganallur,11.5,1993-05-27
Chennai,Chennai nungambakkam,11.5,1993-05-27
Chennai,Chennai port trust,8.0,1993-05-27
Chennai,Chennai port trust,8.0,1993-05-27
Chennai,Sholinganallur,0.5,1993-05-28
Chennai,Chennai nungambakkam,0.5,1993-05-28
Chennai,Sholinganallur,3.6,1993-06-04
Chennai,Chennai nungambakkam,3.6,1993-06-04
Chennai,Chennai port trust,2.0,1993-06-04
Chennai,Chennai port trust,2.0,1993-06-04
Chennai,Sholinganallur,31.6,1993-06-09
Chennai,Chennai nungambakkam,31.6,1993-06-09
Chennai,Chennai port trust,21.0,1993-06-09
Chennai,Chennai port trust,21.0,1993-06-09
Chennai,Sholinganallur,7.6,1993-06-13
Chennai,Chennai nungambakkam,7.6,1993-06-13
Chennai,Chennai port trust,3.1,1993-06-13
Chennai,Chennai port trust,3.1,1993-06-13
Chennai,Sholinganallur,2.8,1993-06-14
Chennai,Chennai nungambakkam,2.8,1993-06-14
Chennai,Chennai port trust,1.8,1993-06-14
Chennai,Chennai port trust,1.8,1993-06-14
Chennai,Chennai port trust,4.8,1993-06-15
Chennai,Chennai port trust,4.8,1993-06-15
Chennai,Sholinganallur,3.7,1993-06-15
Chennai,Chennai nungambakkam,3.7,1993-06-15
Chennai,Sholinganallur,0.1,1993-06-21
Chennai,Chennai nungambakkam,0.1,1993-06-21
Chennai,Chennai port trust,20.2,1993-07-02
Chennai,Chennai port trust,20.2,1993-07-02
Chennai,Sholinganallur,17.8,1993-07-02
Chennai,Chennai nungambakkam,17.8,1993-07-02
Chennai,Chennai port trust,1.6,1993-07-06
Chennai,Chennai port trust,1.6,1993-07-06
Chennai,Sholinganallur,0.8,1993-07-06
Chennai,Chennai nungambakkam,0.8,1993-07-06
Chennai,Chennai port trust,4.6,1993-07-07
Chennai,Chennai port trust,4.6,1993-07-07
Chennai,Sholinganallur,3.3,1993-07-07
Chennai,Chennai nungambakkam,3.3,1993-07-07
Chennai,Chennai port trust,8.8,1993-07-08
Chennai,Chennai port trust,8.8,1993-07-08
